Hz,dB
21677.2064209,-inf,
21676.5335083,-inf,
21676.5335083,-inf,
21675.8605957,-inf,
21675.8605957,-inf,
21675.1876831,-inf,
21675.1876831,-inf,
21674.5147705,-inf,
21674.5147705,-inf,
21673.8418579,-inf,
21673.8418579,-inf,
21673.1689453,-inf,
21673.1689453,-inf,
21672.4960327,-inf,
21672.4960327,-inf,
21671.8231201,-inf,
21671.8231201,-inf,
21671.1502075,-inf,
21671.1502075,-inf,
21670.4772949,-inf,
21670.4772949,-inf,
21669.8043823,-inf,
21669.8043823,-inf,
21669.1314697,-inf,
21669.1314697,-inf,
21668.4585571,-inf,
21668.4585571,-inf,
21667.7856445,-inf,
21667.7856445,-inf,
21667.1127319,-inf,
21667.1127319,-inf,
21666.4398193,-inf,
21666.4398193,-inf,
21665.7669067,-inf,
21665.7669067,-inf,
21665.0939941,-inf,
21665.0939941,-inf,
21664.4210815,-inf,
21664.4210815,-inf,
21663.7481689,-inf,
21663.7481689,-inf,
21663.0752563,-inf,
21663.0752563,-inf,
21662.4023438,-inf,
21662.4023438,-inf,
21661.7294312,-inf,
21661.7294312,-inf,
21661.0565186,-inf,
21661.0565186,-inf,
21660.383606,-inf,
21660.383606,-inf,
21659.7106934,-inf,
21659.7106934,-inf,
21659.0377808,-inf,
21659.0377808,-inf,
21658.3648682,-inf,
21658.3648682,-inf,
21657.6919556,-inf,
21657.6919556,-inf,
21657.019043,-inf,
21657.019043,-inf,
21656.3461304,-inf,
21656.3461304,-inf,
21655.6732178,-inf,
21655.6732178,-inf,
